,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
201,Limon,63,CR,1578890206,96,10.0,-83.03,75.99,4.79
202,Cherskiy,100,RU,1578890420,98,68.75,161.3,-11.99,6.82
203,Bengkulu,88,ID,1578890422,64,-3.8,102.27,85.48,7.25
204,Baharly,72,TM,1578890424,48,38.44,57.43,39.0,10.8
205,Aktash,89,RU,1578890426,83,50.3,87.73,9.55,5.86
206,Hobart,20,AU,1578890418,17,-42.88,147.33,86.0,13.87
207,Tuatapere,30,NZ,1578890430,55,-46.13,167.68,57.99,10.0
208,Valparaiso,5,CL,1578890432,93,-33.04,-71.63,57.2,4.12
209,Mombetsu,40,JP,1578890434,63,44.35,143.35,32.0,3.36
210,Skjervoy,40,NO,1578890436,62,70.03,20.97,35.04,12.71
211,Along,0,IN,1578890438,33,28.17,94.77,70.43,1.79
212,Port Lincoln,0,AU,1578890440,44,-34.73,135.87,79.56,11.68
213,Pisco,92,PE,1578890442,88,-13.7,-76.22,69.01,13.87
214,Husum,38,DE,1578890444,93,54.49,9.05,44.01,6.93
215,Korgen,100,NO,1578890447,92,66.08,13.82,39.0,5.82
216,Yasnyy,95,RU,1578890449,95,51.03,59.87,7.99,11.65
217,Hurghada,3,EG,1578890451,68,27.26,33.81,65.07,19.39
218,Turan,40,VN,1578890425,74,16.07,108.22,82.4,5.82
219,Kailua,90,US,1578890455,83,21.4,-157.74,75.2,10.29
220,Touros,40,BR,1578890457,88,-5.2,-35.46,75.2,3.36
221,Mogadishu,14,SO,1578890459,76,2.04,45.34,81.39,24.38
222,Saint George,1,US,1578890292,59,37.1,-113.58,39.99,3.36
223,Urumqi,100,CN,1578890441,84,43.8,87.6,27.0,2.24
224,Havre-Saint-Pierre,75,CA,1578890465,59,50.23,-63.6,-0.4,5.82
225,Cayenne,75,GF,1578890467,83,4.93,-52.33,78.8,6.93
226,Kathmandu,20,NP,1578890393,71,27.72,85.32,53.6,2.24
227,Kutum,0,SD,1578890471,27,14.2,24.67,54.93,9.62
